title,year,runtime,genres,rating,metascore,votes,gross,genres_list,main_genre
Bacheha-Ye aseman,1997.0,89,"Drama, Family, Sport",8.3,77.0,65341,933933.0,"['Drama', 'Family', 'Sport']",Drama
Toy Story,1995.0,81,"Animation, Adventure, Comedy",8.3,95.0,887429,191796233.0,"['Animation', 'Adventure', 'Comedy']",Animation
Braveheart,1995.0,178,"Biography, Drama, History",8.3,68.0,959181,75600000.0,"['Biography', 'Drama', 'History']",Biography
Reservoir Dogs,1992.0,99,"Crime, Drama, Thriller",8.3,79.0,918562,2832029.0,"['Crime', 'Drama', 'Thriller']",Crime
Full Metal Jacket,1987.0,116,"Drama, War",8.3,76.0,675146,46357676.0,"['Drama', 'War']",Drama
Idi i smotri,1985.0,142,"Drama, Thriller, War",8.3,79.0,59056,23530892.0,"['Drama', 'Thriller', 'War']",Drama
Aliens,1986.0,137,"Action, Adventure, Sci-Fi",8.3,84.0,652719,85160248.0,"['Action', 'Adventure', 'Sci-Fi']",Action
Amadeus,1984.0,160,"Biography, Drama, History",8.3,88.0,369007,51973029.0,"['Biography', 'Drama', 'History']",Biography
Scarface,1983.0,170,"Crime, Drama",8.3,65.0,740911,45598982.0,"['Crime', 'Drama']",Crime
Star Wars: Episode VI - Return of the Jedi,1983.0,131,"Action, Adventure, Fantasy",8.3,58.0,950470,309125409.0,"['Action', 'Adventure', 'Fantasy']",Action
Das Boot,1981.0,149,"Adventure, Drama, Thriller",8.3,86.0,231855,11487676.0,"['Adventure', 'Drama', 'Thriller']",Adventure
Taxi Driver,1976.0,114,"Crime, Drama",8.3,94.0,724636,28262574.0,"['Crime', 'Drama']",Crime
The Sting,1973.0,129,"Comedy, Crime, Drama",8.3,83.0,241513,159600000.0,"['Comedy', 'Crime', 'Drama']",Comedy
A Clockwork Orange,1971.0,136,"Crime, Drama, Sci-Fi",8.3,77.0,757904,6207725.0,"['Crime', 'Drama', 'Sci-Fi']",Crime
2001: A Space Odyssey,1968.0,149,"Adventure, Sci-Fi",8.3,84.0,603517,56954992.0,"['Adventure', 'Sci-Fi']",Adventure
Per qualche dollaro in più,1965.0,132,Western,8.3,74.0,232772,15000000.0,['Western'],Western
Lawrence of Arabia,1962.0,228,"Adventure, Biography, Drama",8.3,100.0,268085,44824144.0,"['Adventure', 'Biography', 'Drama']",Adventure
The Apartment,1960.0,125,"Comedy, Drama, Romance",8.3,94.0,164363,18600000.0,"['Comedy', 'Drama', 'Romance']",Comedy
North by Northwest,1959.0,136,"Adventure, Mystery, Thriller",8.3,98.0,299198,13275000.0,"['Adventure', 'Mystery', 'Thriller']",Adventure
Vertigo,1958.0,128,"Mystery, Romance, Thriller",8.3,100.0,364368,3200000.0,"['Mystery', 'Romance', 'Thriller']",Mystery
Singin' in the Rain,1952.0,103,"Comedy, Musical, Romance",8.3,99.0,218957,8819028.0,"['Comedy', 'Musical', 'Romance']",Comedy
Ikiru,1952.0,143,Drama,8.3,79.0,68463,55240.0,['Drama'],Drama
Ladri di biciclette,1948.0,89,Drama,8.3,79.0,146427,332930.0,['Drama'],Drama
Double Indemnity,1944.0,107,"Crime, Drama, Film-Noir",8.3,95.0,143525,5720000.0,"['Crime', 'Drama', 'Film-Noir']",Crime
Citizen Kane,1941.0,119,"Drama, Mystery",8.3,100.0,403351,1585634.0,"['Drama', 'Mystery']",Drama
M - Eine Stadt sucht einen Mörder,1931.0,117,"Crime, Mystery, Thriller",8.3,79.0,143434,28877.0,"['Crime', 'Mystery', 'Thriller']",Crime
Metropolis,1927.0,153,"Drama, Sci-Fi",8.3,98.0,159992,1236166.0,"['Drama', 'Sci-Fi']",Drama
The Kid,1921.0,68,"Comedy, Drama, Family",8.3,79.0,113314,5450000.0,"['Comedy', 'Drama', 'Family']",Comedy
Chhichhore,2019.0,143,"Comedy, Drama",8.2,79.0,33893,898575.0,"['Comedy', 'Drama']",Comedy
Uri: The Surgical Strike,2018.0,138,"Action, Drama, War",8.2,79.0,43444,4186168.0,"['Action', 'Drama', 'War']",Action
K.G.F: Chapter 1,2018.0,156,"Action, Drama",8.2,79.0,36680,23530892.0,"['Action', 'Drama']",Action
Green Book,2018.0,130,"Biography, Comedy, Drama",8.2,69.0,377884,85080171.0,"['Biography', 'Comedy', 'Drama']",Biography
